Standname,Buchungstag,Standstatus,Kunde,Rechnungsnummer,"Standpreis in €",Standbreite,Standtiefe,Stromanschluss,Wasseranschluss,Imbiss,Getränke,Fahrgeschäft/e,Sortiment,"Notizen vom Kunden",Bezahlstatus
"Stiftsmarkt 26",Samstag,Verkauft,"Andreas Fabisch (Gewerblich)",1852,50€,1.5m,"0,60m",Nein,Nein,Nein,Nein,,Glühwein,,Bezahlt
"Stiftsmarkt 26",Sonntag,Verkauft,"Andreas Fabisch (Gewerblich)",1852,50€,1.5m,"0,60m",Nein,Nein,Nein,Nein,,Glühwein,,Bezahlt
"Stiftsmarkt 24",Samstag,Verkauft,"Simone Wardinski (Privat_troedel)",1751,15€,3m,"0,6m",,,,,,,,Bezahlt
"Stiftsmarkt 24",Sonntag,Verkauft,"Simone Wardinski (Privat_troedel)",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 22",Samstag,Verkauft,"Enka Marie Mentrup (Privat_troedel)",1926,15€,3m,"0,6m",,,,,,,,"Zahlung ausstehend"
"Stiftsmarkt 22",Sonntag,Verkauft,"Enka Marie Mentrup (Privat_troedel)",1890,15€,3m,"0,6m",,,,,,,,Bezahlt
"Stiftsmarkt 20",Samstag,Verkauft,"Vanessa Meller (Gewerblich)",1817,50€,3m,"0,60m",Nein,Nein,Nein,Nein,,"Bedruckte/personalisierte Textilien",,"Zahlung ausstehend"
"Stiftsmarkt 20",Sonntag,Verkauft,"Vanessa Meller (Gewerblich)",1817,50€,3m,"0,60m",Nein,Nein,Nein,Nein,,"Bedruckte/personalisierte Textilien",,"Zahlung ausstehend"
"Stiftsmarkt 18",Samstag,Verkauft,"Kristina Ronge (Privat_troedel)",1662,15€,3m,"0,6m",,,,,,,,Bezahlt
"Stiftsmarkt 18",Sonntag,Verkauft,"Kristina Ronge (Privat_troedel)",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 16",Samstag,Verkauft,"Kathrin Arp (Privat_troedel)",1932,15€,3m,"0,6m",,,,,,,,Bezahlt
"Stiftsmarkt 16",Sonntag,Verkauft,"Kathrin Arp (Privat_troedel)",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 14",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 14",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 12",Samstag,Verkauft,"Patrick Spolder (Gewerblich)",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 12",Sonntag,Verkauft,"Patrick Spolder (Gewerblich)",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 10",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 10",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 8",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 8",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 6",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 6",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 4",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 4",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 2",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 2",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 25",Samstag,Verkauft,"Sabine Termeer (Privat_anlieger)",1515,30€,3m,"0,6m",,,,,,,"Mir ist bewusst, dass für die Bücherei schon Flächen dankenswerter Weise reserviert wurden. Aus dem Team wollen gerne noch mehr etwas verkaufen - daher zusätzliche Flächenreservierungen. Vielen Dank ! SaBine",Bezahlt
"Stiftsmarkt 25",Sonntag,Verkauft,"Sabine Termeer (Privat_anlieger)",1515,30€,3m,"0,6m",,,,,,,"Mir ist bewusst, dass für die Bücherei schon Flächen dankenswerter Weise reserviert wurden. Aus dem Team wollen gerne noch mehr etwas verkaufen - daher zusätzliche Flächenreservierungen. Vielen Dank ! SaBine",Bezahlt
"Stiftsmarkt 23",Samstag,Verkauft,"Sabine Termeer (Privat_anlieger)",1515,30€,3m,"0,6m",,,,,,,"Mir ist bewusst, dass für die Bücherei schon Flächen dankenswerter Weise reserviert wurden. Aus dem Team wollen gerne noch mehr etwas verkaufen - daher zusätzliche Flächenreservierungen. Vielen Dank ! SaBine",Bezahlt
"Stiftsmarkt 23",Sonntag,Verkauft,"Sabine Termeer (Privat_anlieger)",1515,30€,3m,"0,6m",,,,,,,"Mir ist bewusst, dass für die Bücherei schon Flächen dankenswerter Weise reserviert wurden. Aus dem Team wollen gerne noch mehr etwas verkaufen - daher zusätzliche Flächenreservierungen. Vielen Dank ! SaBine",Bezahlt
"Stiftsmarkt 21b",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 21b",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 21a",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 21a",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 21",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 21",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 19",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 19",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 17",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 17",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 15",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 15",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 13",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Stiftsmarkt 13",Sonntag,Verkauft,"Kein Kunde",1791,0€,4.55m,3.5m,Ja,Ja,Nein,Nein,,Gemischt,,"Zahlung ausstehend"
"Stiftsmarkt 11",Samstag,Verkauft,"Silvia Artmeier (Privat_troedel)",1738,15€,3m,"0,6m",,,,,,,,Bezahlt
